Accuracy,Max_Score,Difficulty,Problem status
97.90%,1,1,Solved
94.44%,10,1,Solved
95.73%,10,1,Solved
98.80%,10,1,Solved
95.97%,10,1,Solved
98.38%,10,1,Solved
98.36%,10,1,Solved
94.40%,10,1,Solved
97.10%,10,1,Solved
92.22%,15,1,Solved
96.46%,10,1,Solved
96.30%,10,1,Solved
89.48%,10,1,Solved
90.73%,10,1,Solved
98.53%,10,1,Solved
94.10%,10,1,Solved
97.69%,10,1,Solved
90.50%,15,1,Solved
98.01%,10,1,Solved
92.49%,10,1,Solved
89.80%,10,1,Solved
95.04%,15,1,Solved
92.87%,15,1,Solved
98.00%,15,1,Solved
60.81%,20,2,Solved
98.85%,15,1,Solved
98.80%,20,1,Solved
97.87%,20,1,Solved
96.35%,20,1,Solved
82.15%,15,1,Solved
96.91%,25,1,Solved
86.91%,20,1,Solved
89.70%,15,1,Solved
94.73%,20,1,Solved
90.74%,20,1,Solved
93.51%,20,1,Solved
90.54%,20,1,Solved
98.38%,30,1,Solved
98.05%,15,1,Solved
87.97%,30,1,Solved
85.87%,15,1,Solved
97.23%,30,1,Solved
98.29%,30,1,Solved
86.60%,15,1,Solved
93.87%,15,1,Solved
95.90%,30,1,Solved
94.64%,25,1,Solved
97.07%,30,1,Solved
97.44%,20,1,Solved
94.82%,20,1,Solved
90.77%,35,1,Solved
89.06%,25,1,Solved
95.18%,25,1,Solved
89.14%,20,2,Solved
71.20%,15,3,Solved
91.90%,10,1,TryAgain
78.35%,20,2,TryAgain
90.11%,20,1,TryAgain
96.41%,15,1,TryAgain
98.67%,15,1,TryAgain
81.06%,20,1,TryAgain
97.58%,20,1,TryAgain
95.51%,15,1,TryAgain
95.57%,20,2,TryAgain
69.72%,20,1,TryAgain
94.92%,25,1,TryAgain
67.74%,20,2,TryAgain
90.26%,20,1,TryAgain
94.00%,20,1,TryAgain
68.13%,30,2,TryAgain
89.52%,25,1,TryAgain
89.74%,25,1,TryAgain
86.25%,30,2,TryAgain
91.98%,30,2,TryAgain
81.18%,35,2,TryAgain
89.12%,30,1,TryAgain
93.02%,25,2,TryAgain
92.19%,25,1,TryAgain
97.30%,20,1,TryAgain
92.22%,25,1,TryAgain
80.69%,25,1,TryAgain
90.80%,25,1,TryAgain
90.19%,30,1,TryAgain
91.28%,30,1,TryAgain
76.20%,30,2,TryAgain
86.03%,30,1,TryAgain
82.56%,30,1,TryAgain
92.81%,30,2,TryAgain
77.43%,40,2,TryAgain
73.14%,40,2,TryAgain
68.52%,40,2,TryAgain
83.40%,40,2,TryAgain
75.23%,50,2,TryAgain
79.94%,80,4,TryAgain
65.57%,20,1,TryAgain
87.20%,10,1,TryAgain
79.77%,20,1,TryAgain
92.34%,20,1,TryAgain
96.12%,10,1,TryAgain
94.86%,20,1,TryAgain
75.13%,20,1,TryAgain
89.76%,20,1,TryAgain
95.38%,30,1,TryAgain
93.58%,20,1,TryAgain
84.26%,40,2,TryAgain
88.78%,35,1,Unsolved
96.93%,20,1,TryAgain
38.52%,50,4,Unsolved
38.34%,50,4,TryAgain
69.26%,25,1,TryAgain
44.41%,40,2,Unsolved
93.56%,30,1,TryAgain
56.50%,40,2,Unsolved
93.72%,30,1,Unsolved
90.38%,25,1,TryAgain
65.96%,35,2,TryAgain
56.52%,30,2,Unsolved
50.14%,40,2,Unsolved
88.90%,50,2,Unsolved
59.77%,60,2,TryAgain
68.52%,50,2,Unsolved
51.90%,100,4,Unsolved
86.86%,80,3,Unsolved
62.35%,80,4,Unsolved
64.51%,80,4,Unsolved
47.92%,80,3,Unsolved
63.40%,80,3,Unsolved
77.43%,85,5,Unsolved
63.57%,100,4,Unsolved
40.32%,100,4,Unsolved
64.10%,80,4,Unsolved
69.87%,120,4,Unsolved
57.30%,85,4,Unsolved
40.99%,100,5,Unsolved
49.44%,100,5,Unsolved
79.06%,100,5,Unsolved
64.13%,150,4,Unsolved
84.83%,100,5,Unsolved
71.62%,100,5,Unsolved
77.45%,100,5,Unsolved
35.64%,100,5,Unsolved
67.40%,25,2,Unsolved
44.52%,25,2,Unsolved
93.08%,30,1,Unsolved
87.11%,35,4,Unsolved
63.78%,35,2,Unsolved
83.74%,45,1,Unsolved
78.29%,50,2,Unsolved
82.04%,40,1,Unsolved
37.43%,65,4,Unsolved
87.77%,50,2,Unsolved
63.01%,40,2,Unsolved
56.14%,70,3,Unsolved
87.10%,50,4,Unsolved
71.02%,50,4,Unsolved
61.59%,45,4,Unsolved
72.78%,50,2,Unsolved
56.16%,50,4,Unsolved
85.18%,60,4,Unsolved
56.96%,65,3,Unsolved
60.69%,70,4,Unsolved
52.14%,70,4,Unsolved
37.23%,70,3,Unsolved
85.90%,80,5,Unsolved
44.52%,80,3,Unsolved
69.29%,80,5,Unsolved
72.80%,80,3,Unsolved
60.17%,65,3,Unsolved
66.90%,30,2,Unsolved
62.65%,50,2,Unsolved
63.87%,40,4,Unsolved
73.42%,50,4,Unsolved
79.19%,55,2,Unsolved
84.06%,50,2,Unsolved
89.29%,50,2,Unsolved
80.03%,50,2,Unsolved
56.18%,60,4,Unsolved
59.27%,50,4,Unsolved
84.87%,60,2,Unsolved
75.42%,60,3,Unsolved
67.81%,60,3,Unsolved
60.78%,60,4,Unsolved
56.52%,50,4,Unsolved
66.88%,50,3,Unsolved
66.34%,55,3,Unsolved
81.33%,80,5,Unsolved
77.48%,80,5,Unsolved
68.95%,80,2,Unsolved
84.37%,50,4,Unsolved
89.70%,70,4,Unsolved
78.83%,80,4,Unsolved
82.84%,75,4,Unsolved
56.94%,60,4,Unsolved
63.98%,75,3,Unsolved
49.30%,80,3,Unsolved
65.63%,70,4,Unsolved
21.01%,80,3,Unsolved
81.27%,75,3,Unsolved
65.77%,70,3,Unsolved
80.15%,70,3,Unsolved
65.06%,80,3,Unsolved
65.50%,90,3,Unsolved
80.36%,90,3,Unsolved
64.51%,75,3,Unsolved
87.44%,90,3,Unsolved
79.27%,85,4,Unsolved
80.80%,80,4,Unsolved
74.51%,80,3,Unsolved
71.70%,80,3,Unsolved
58.26%,80,5,Unsolved
61.45%,95,4,Unsolved
69.81%,80,4,Unsolved
52.75%,100,4,Unsolved
71.39%,100,3,Unsolved
70.62%,100,3,Unsolved
73.54%,100,5,Unsolved
84.91%,120,3,Unsolved
76.12%,80,3,Unsolved
81.42%,80,3,Unsolved
88.42%,150,5,Unsolved
91.39%,100,5,Unsolved
79.72%,90,5,Unsolved
64.67%,100,5,Unsolved
80.04%,90,5,Unsolved
57.76%,100,5,Unsolved
83.14%,100,4,Unsolved
73.62%,100,5,Unsolved
86.36%,100,5,Unsolved
83.13%,100,5,Unsolved
88.48%,100,5,Unsolved
87.35%,100,5,Unsolved
86.92%,15,1,Unsolved
96.45%,15,1,Unsolved
83.61%,20,1,Unsolved
93.12%,20,1,Unsolved
91.03%,20,1,Unsolved
77.04%,30,1,Unsolved
68.15%,50,2,Unsolved
82.76%,30,1,Unsolved
92.19%,30,1,Unsolved
63.14%,30,1,Unsolved
93.76%,35,1,Unsolved
93.95%,35,2,Unsolved
85.68%,35,2,Unsolved
88.87%,40,1,Unsolved
94.41%,40,1,Unsolved
76.98%,60,4,Unsolved
56.96%,50,4,Unsolved
71.43%,40,2,Unsolved
44.40%,45,4,Unsolved
78.70%,65,4,Unsolved
54.87%,70,4,Unsolved
52.16%,60,3,Unsolved
44.40%,70,4,Unsolved
59.05%,80,3,Unsolved
63.88%,30,4,Unsolved
79.84%,60,2,Unsolved
56.35%,30,2,Unsolved
91.17%,30,2,Unsolved
68.24%,50,2,Unsolved
76.93%,35,2,Unsolved
67.36%,40,2,Unsolved
68.50%,35,2,Unsolved
50.71%,50,4,Unsolved
62.55%,50,4,Unsolved
68.38%,60,3,Unsolved
59.71%,40,2,Unsolved
61.83%,60,3,Unsolved
80.75%,45,2,Unsolved
74.23%,60,3,Unsolved
45.42%,40,2,Unsolved
70.08%,70,5,Unsolved
58.45%,50,4,Unsolved
83.45%,80,4,Unsolved
68.08%,80,4,Unsolved
58.87%,60,3,Unsolved
60.54%,40,4,Unsolved
76.49%,50,2,Unsolved
50.95%,50,3,Unsolved
78.02%,60,3,Unsolved
58.24%,50,4,Unsolved
82.49%,50,4,Unsolved
64.14%,40,4,Unsolved
54.93%,40,4,Unsolved
69.37%,60,4,Unsolved
